Site,Reef_Type,Latitude,Longitude,depth
Rocky Point South,Natural Reef,33.77587475,-118.4322935,13.25
SBI - Cat Canyon,Natural Reef,33.46407275,-119.04495925,13
SBI - Southeast Reef,Natural Reef,33.4635525,-119.0287775,14.5
SBI - Southeast Sealion,Natural Reef,33.46900333333333,-119.0285,10
SBI - Sutil,Natural Reef,33.46542175,-119.04858575,14
SCAI - Bird Rock,Natural Reef,33.4531475,-118.4874825,13.25
SCAI - Blue Cavern,Natural Reef,33.448074,-118.47927733333333,10.333333333333332
SCAI - Cat Harbor,Natural Reef,33.42582573333333,-118.5113884,9.666666666666668
SCAI - China Point,Natural Reef,33.32993666666667,-118.46949666666666,9.666666666666668
SCAI - Hen Rock,Natural Reef,33.399636666666666,-118.36649666666666,11
SCAI - Indian Rock,Natural Reef,33.46855,-118.5242775,13.5
SCAI - Iron Bound Cove,Natural Reef,33.44765,-118.57549263333334,9.666666666666668
SCAI - Italian Gardens,Natural Reef,33.41064133333334,-118.37550333333333,9.666666666666668
SCAI - Ripper's Cove,Natural Reef,33.4282885,-118.435324,6
SCAI - Salta Verde,Natural Reef,33.31467466666667,-118.42199600000001,10
SCAI - Ship Rock,Natural Reef,33.4635425,-118.49187,14
SCI_CAVERN_POINT_E,Natural Reef,34.054283,-119.566867,13.907976190476191
SCI_CAVERN_POINT_W,Natural Reef,34.05275,-119.5713,10.269791666666666
SCI_COCHE_POINT_E,Natural Reef,34.044933,-119.6014,14.497464285714285
SCI_COCHE_POINT_W,Natural Reef,34.04265,-119.604,13.267708333333333
SCI_FORNEY_E,Natural Reef,34.051483,-119.909667,10.495952380952382
SCI_FORNEY_W,Natural Reef,34.053883,-119.9182,10.630357142857143
SCI_GULL_ISLE_E,Natural Reef,33.946467,-119.823183,12.573015873015873
SCI_GULL_ISLE_W,Natural Reef,33.948167,-119.82795,13.392426303854876
SCI_HAZARDS_CEN,Natural Reef,34.056583,-119.821167,9.25625
SCI_HAZARDS_E,Natural Reef,34.054383,-119.81935,9.497916666666667
SCI_HAZARDS_W,Natural Reef,34.0581,-119.824833,8.875
SCI_PAINTED_CAVE_CEN,Natural Reef,34.072867,-119.870983,13
SCI_PAINTED_CAVE_E,Natural Reef,34.0719,-119.85755,14.366666666666667
SCI_PAINTED_CAVE_W,Natural Reef,34.074483,-119.882133,13.875
SCI_PELICAN_CEN,Natural Reef,34.03065,-119.69665,9.210416666666667
SCI_PELICAN_E,Natural Reef,34.02805,-119.690917,7.852916666666667
SCI_PELICAN_W,Natural Reef,34.035867,-119.7023,9.153174603174604
SCI_SCORPION_E,Natural Reef,34.048467,-119.546367,13.452091836734693
SCI_SCORPION_W,Natural Reef,34.0525,-119.55525,9.399236874236875
SCI_VALLEY_CEN,Natural Reef,33.983617,-119.6384,9.734285714285715
SCI_VALLEY_E,Natural Reef,33.98355,-119.620317,11.76517857142857
SCI_VALLEY_W,Natural Reef,33.9817,-119.6637,8.32
SCI_YELLOWBANKS_CEN,Natural Reef,33.988533,-119.546983,13.495907738095237
SCI_YELLOWBANKS_W,Natural Reef,33.9893,-119.564933,15.063035714285714
SCLI - Pyramid Cove,Natural Reef,32.81609,-118.37092,14
SRI_CLUSTER_POINT_S,Natural Reef,33.923833,-120.192,18.6
SRI_JOHNSONS_LEE_SOUTH_E,Natural Reef,33.897433,-120.100383,13.49048951048951
SRI_JOHNSONS_LEE_SOUTH_W,Natural Reef,33.895133,-120.104317,11.984333333333334
SRI_SOUTH_POINT_W,Natural Reef,33.894167,-120.124883,15.842857142857143
San Mateo Kelp,Natural Reef,33.384795,-117.608125,12.5
Santa Monica AR - A,Artificial Reef,34.00957,-118.53036,18
Santa Monica AR - B,Artificial Reef,34.009324,-118.531234,19
Santa Monica AR - C,Artificial Reef,34.008944,-118.530878,18
Segovia,Natural Reef,33.76235533333333,-118.423523,10
South La Jolla,Natural Reef,32.81285,-117.286525,13.75
Swami's,Natural Reef,33.035826666666665,-117.30076,10.333333333333332
Underwater Arch,Natural Reef,33.751624666666665,-118.41703666666666,9.666666666666668
Whites Point,Natural Reef,33.71469666666667,-118.32299666666667,8.333333333333332
