Site,Latitude,Longitude,nearest_buoy,nearest_buoy_nm,dist_to_buoy_km,mean_fetch_km,max_fetch_km,weighted_fetch_km,wave_energy_kW_m,exposure_index_scaled
Abalone Cove Kelp West,33.73857,-118.38731,46025,Santa Monica Basin,60.96738269552035,107.87491886679724,500,93.12307021495117,0.27601270672993256,0.24118166400469576
Albondigas,33.7503,-118.41627,46025,Santa Monica Basin,58.25514447212796,132.3458205542191,500,228.74480429467712,0.2971788946086082,0.5924316327294067
Bunker Point,33.72491,-118.35376,46025,Santa Monica Basin,64.14076655313848,112.3053809666456,500,143.55197476537262,0.31508749617632664,0.3717886885081887
Burial Grounds,33.72389,-118.34768,46025,Santa Monica Basin,64.70972818256215,112.03082449914098,500,143.42726149942018,0.3144732062872829,0.37146569064164026
Cairns,33.71042,-118.30747,46025,Santa Monica Basin,68.52769984166574,114.44390806836066,500,139.66218995223863,0.32920787178709654,0.36171444190435165
Cape Point,33.72072,-118.34047,46025,Santa Monica Basin,65.39760355478448,112.17403164925172,500,143.50728862432942,0.31573942459139265,0.3716729548040714
Children's Pool,32.85215,-117.27887,46086,San Clemente Basin,80.30950303703871,114.26613732564732,500,255.94399499216132,0.33395999943948657,0.6628754664309621
Christmas Tree Cove,33.76163,-118.42183,46025,Santa Monica Basin,57.73855663453041,132.36605536292342,500,228.56526850321626,0.2975155237365174,0.5919666486944841
Crystal Cove,33.56395,-117.83607,46025,Santa Monica Basin,114.11442224579699,138.1841524498139,500,155.4994929821838,0.34992939989555294,0.4027318513313824
Dana Point,33.46631,-117.72175,46086,San Clemente Basin,111.72411601395555,147.10407889803898,500,139.27630921637575,0.4071606189105366,0.3607150401689069
Escondido West,34.02122,-118.77342,46025,Santa Monica Basin,38.77012111632309,87.23909009041466,500,59.65671063513544,0.28170738359793984,0.1545063399092972
Flat Rock North,33.80147,-118.40739,46025,Santa Monica Basin,59.28250026916604,111.02427993558977,500,185.01485280378716,0.2761764407682116,0.4791743867744281
Flat Rock South,33.79598,-118.41365,46025,Santa Monica Basin,58.65642417468102,111.69605218262298,500,185.72182576693675,0.27896495604901883,0.4810053929393362
Golden Cove,33.75277,-118.41493,46025,Santa Monica Basin,58.37665162240996,0,0,0,0,0
HORSESHOE_REEF_E,34.38945,-119.54477,46053,East Santa Barbara,31.695115865327562,98.03403141310729,500,165.49080708746553,0.30128648295627586,0.4286085943977697
HORSESHOE_REEF_W,34.39173,-119.5577,46053,East Santa Barbara,30.82065384480152,95.60036106977518,500,232.7272882828022,0.2726678529470674,0.6027459631408825
Hawthorne Reef,33.74701,-118.41745,46025,Santa Monica Basin,58.15134717587471,165.69802761031113,500,249.6321432265766,0.3734875282565907,0.6465282507704297
Heisler Park,33.54058,-117.7921,46086,San Clemente Basin,118.35182728897128,137.76824825247013,500,137.5259104645425,0.3493954027914234,0.3561816406293038
Hermosa Beach AR - Giants,33.85363,-118.41295,46025,Santa Monica Basin,59.53895243489843,112.61591188849417,500,183.71193216771894,0.28963094060812994,0.47579992149587097
Honeymoon Cove,33.76421,-118.42529,46025,Santa Monica Basin,57.421548597491395,165.62300571145008,500,249.31020173532121,0.37292060012209166,0.6456944468119272
IV_REEF_E,34.40295,-119.86452,46053,East Santa Barbara,18.117710348981927,82.38376526688869,500,228.84966593385116,0.2785338743772491,0.5927032163935608
IV_REEF_W,34.40473,-119.87628,46053,East Santa Barbara,18.483513403713093,83.24005485157082,500,230.8216465009674,0.2834751001187851,0.5978104959695477
KOU Rock,33.72007,-118.33944,46025,Santa Monica Basin,65.49736059956605,112.20202049784709,500,143.55277075547562,0.3158976837133914,0.37179075006197043
Laguna Beach,33.53096,-117.78024,46086,San Clemente Basin,117.50988222288295,138.51923418458568,500,141.82331280044684,0.35754231435264594,0.36731158559222954
Lechuza,34.03262,-118.86284,46025,Santa Monica Basin,35.10222666013849,146.6565667321336,500,124.30662794193498,0.37804678599936054,0.3219447050515634
Leucadia,33.06438,-117.31063,46086,San Clemente Basin,92.04654342491789,180.5239869343658,500,257.760623969627,0.42663104042840705,0.6675803972139891
Little Dume West,34.00488,-118.7899,46025,Santa Monica Basin,36.40326140269309,119.2832174155178,500,100.11110876218571,0.3444473102255244,0.2592801519632724
Long Point East,33.73528,-118.40164,46025,Santa Monica Basin,59.65360945298157,174.3193061814844,500,250.8765298636749,0.431173680907703,0.6497511174468378
Long Point West,33.73727,-118.40332,46025,Santa Monica Basin,59.489655110288645,173.95313791348426,500,250.63354923191326,0.43007474141114194,0.6491218161044968
Lunada Bay,33.77106,-118.43169,46025,Santa Monica Basin,56.845198036210405,166.70551747686935,500,249.8447246081766,0.37844594520192965,0.6470788203686223
Marguerite Central,33.75668,-118.41834,46025,Santa Monica Basin,58.05917253453532,132.22709235697434,500,228.52220063781022,0.29709056998899014,0.5918551062010957
Marguerite East,33.75554,-118.41709,46025,Santa Monica Basin,58.17509913042158,0,0,0,0,0
Marguerite West,33.75796,-118.41918,46025,Santa Monica Basin,57.981548006142,132.2532890292272,500,228.52491679525602,0.2971744773570174,0.5918621408421461
Marina del Rey AR - F,33.9676,-118.48667,46025,Santa Monica Basin,56.7920461404841,84.48485632969928,500,94.22743148848255,0.276093080809428,0.2440418756471796
Marina del Rey AR - I,33.96856,-118.48578,46025,Santa Monica Basin,56.9109524100531,84.35671861569625,500,94.10332496393238,0.27571970492178055,0.24372044919468228
Marina del Rey AR - K,33.96897,-118.48744,46025,Santa Monica Basin,56.79019943613602,84.43919094134756,500,94.09662619339193,0.2760380148830566,0.24370309988884428
Matlahuayl,32.85272,-117.27038,46086,San Clemente Basin,81.03179694663203,0,0,0,0,0
NAPLES_CEN,34.42185,-119.9515,46053,East Santa Barbara,22.575184036346027,113.20484753318819,500,240.69924381993874,0.3349291966328908,0.6233927212146874
NAPLES_E,34.42333,-119.95102,46053,East Santa Barbara,22.701070300230484,113.11991875613197,500,240.6435773196612,0.3347648922595073,0.6232485492158983
NAPLES_W,34.42463,-119.95532,46053,East Santa Barbara,23.010992468821893,113.08752508910844,500,240.57199564033212,0.33470027918718254,0.6230631581147138
Nicholas Canyon West,34.04052,-118.92273,46025,Santa Monica Basin,33.6287517985459,175.1824753454253,500,140.2771680379653,0.4008841361606011,0.3633071883387166
